status,source,drive_id,size_bytes,repo_target,drive_url
exists,Agiz Kodlar,1CufdSTRfFMP780zk-W0fislQjG_aB_W8,961174,03_regional_models/notebooks/mouth/Xception_Mouth_Deepfake_Colab_FIXED.ipynb,https://drive.google.com/file/d/1CufdSTRfFMP780zk-W0fislQjG_aB_W8/view
exists,Agiz Kodlar,14hzFHsnlMn5VL3Y1cm4bAezVfACX7Hbl,2900736,02_roi_preprocessing/drive_outputs/mouth/Untitled4 (2).ipynb,https://drive.google.com/file/d/14hzFHsnlMn5VL3Y1cm4bAezVfACX7Hbl/view
exists,Agiz Sonuclar,1vF6_1flkUTwT3_z_WHgEajaAbhjjVNRw,107,03_regional_models/drive_archives/mouth/20260808_1240_mouth_vgg16_svm_seed42.zip.sha256,https://drive.google.com/file/d/1vF6_1flkUTwT3_z_WHgEajaAbhjjVNRw/view
exists,Agiz Sonuclar,1cbCatGKJYdgbrNSyZBDCo-aww2ttWlrg,12908786,03_regional_models/drive_archives/mouth/20260808_1240_mouth_vgg16_svm_seed42.zip,https://drive.google.com/file/d/1cbCatGKJYdgbrNSyZBDCo-aww2ttWlrg/view
exists,Agiz Raporlar,1Lqf6OholQ3mqN5IIxpiGzvFnfh0Hd2n_,88717,08_article/reports/mouth/EfficientNet_B0_Agiz_ROI_Deney_Sonuc_Raporu.pdf,https://drive.google.com/file/d/1Lqf6OholQ3mqN5IIxpiGzvFnfh0Hd2n_/view
exists,Agiz Raporlar,1nuqd-bn3T5RK9JVnE9nIw-JPQ-FGdO0V,1392839,08_article/reports/mouth/DenseNet121_Kas_Goz_Agiz_LeakageSafe_Fuzyon_Deney_Raporu.pdf,https://drive.google.com/file/d/1nuqd-bn3T5RK9JVnE9nIw-JPQ-FGdO0V/view
exists,Agiz Raporlar,1O6rllQZSTOpzIZ5EV1gi2y4Z6-K8HxGb,1630652,08_article/reports/mouth/HOG_LBP_KAZE_RBFSVM_Kas_Goz_Agiz_Fuzyon_Deney_Raporu.pdf,https://drive.google.com/file/d/1O6rllQZSTOpzIZ5EV1gi2y4Z6-K8HxGb/view
exists,Agiz Raporlar,1k5NjUPyG4PN0qyZu8Q_v6-mfbKyfmmNx,2396930,08_article/reports/mouth/Xception_Kas_Goz_Agiz_Weighted_Fusion_Deney_Raporu.pdf,https://drive.google.com/file/d/1k5NjUPyG4PN0qyZu8Q_v6-mfbKyfmmNx/view
exists,Agiz Raporlar,1ykzX9d8enUavdGfEnjk7lt1R4_yHE7JQ,440156,08_article/reports/mouth/Agiz_SwinV2_Tiny_Deney_Raporu.pdf,https://drive.google.com/file/d/1ykzX9d8enUavdGfEnjk7lt1R4_yHE7JQ/view
exists,Agiz Raporlar,1r8CiEzRFOHkfCRYedQaAwx_-PZuxeZ0u,554752,08_article/reports/mouth/VGG16_SVM_Agiz_Detayli_Deney_Raporu.pdf,https://drive.google.com/file/d/1r8CiEzRFOHkfCRYedQaAwx_-PZuxeZ0u/view
exists,Agiz Raporlar,1Eq49cDt7zdbbR18D0CQ5u6TSklvxCSPz,570512,08_article/reports/mouth/DenseNet121_Mouth_Deney_Sonuc_Analiz_Raporu (1).pdf,https://drive.google.com/file/d/1Eq49cDt7zdbbR18D0CQ5u6TSklvxCSPz/view
exists,Agiz Raporlar,1RogOm85gVYShzMcRcuLGo9KQAvS0m8M5,708967,08_article/reports/mouth/HOG_LBP_SVM_Agiz_Deneyi_Sonuc_Analiz_Raporu.pdf,https://drive.google.com/file/d/1RogOm85gVYShzMcRcuLGo9KQAvS0m8M5/view
exists,Agiz Raporlar,1slcyBYfwnHfowkqXVLNdInWPKnMquVjV,1049209,08_article/reports/mouth/VGG16_HOG_GIST_RBF_SVM_Agiz_Deney_Sonuc_Raporu (1).pdf,https://drive.google.com/file/d/1slcyBYfwnHfowkqXVLNdInWPKnMquVjV/view
exists,Agiz Raporlar,1YYBtKlYd0wERTd7DYC5fUwTPxK7VXz7C,842160,08_article/reports/mouth/HOG_LBP_KAZE_Mouth_Deney_Raporu.pdf,https://drive.google.com/file/d/1YYBtKlYd0wERTd7DYC5fUwTPxK7VXz7C/view
